stasl0217/UKGE,git@github.com:stasl0217/UKGE.git
ShihanYang/UKGsE,git@github.com:ShihanYang/UKGsE.git
sedg/ukgds2dss,git@github.com:sedg/ukgds2dss.git
ShihanYang/UKGEbert,git@github.com:ShihanYang/UKGEbert.git
4c656554/ukgds2nx,git@github.com:4c656554/ukgds2nx.git
EECi/ukgeo,git@github.com:EECi/ukgeo.git
iangle/UKG-Ready-API,git@github.com:iangle/UKG-Ready-API.git
wmo-registers/ukgov-ld-deploy,git@github.com:wmo-registers/ukgov-ld-deploy.git
petrbouchal/ukgov-organogram,git@github.com:petrbouchal/ukgov-organogram.git
ShouyangDong/ukg,git@github.com:ShouyangDong/ukg.git
Poseidon-Dev/ukg-ecms,git@github.com:Poseidon-Dev/ukg-ecms.git
TheUrbas/UKGeneralElectionMachineLearning,git@github.com:TheUrbas/UKGeneralElectionMachineLearning.git
42polymers/c_restaurant,git@github.com:42polymers/c_restaurant.git
markfowden/ukge2019data,git@github.com:markfowden/ukge2019data.git
Duwevans/ukg-raas,git@github.com:Duwevans/ukg-raas.git
